customer_id,age,annual_income,monthly_debt,loan_amount,loan_term_months,credit_score,employment_years,account_age_months,num_previous_loans,previous_defaults,debt_to_income,loan_to_income,default
C0001,30,384902,5358,404785,72,646,6.8,41,4,1,0.167,1.0517,1
C0002,61,391299,8515,425400,72,671,7.4,149,3,0,0.2611,1.0871,0
C0003,23,949659,16110,755889,12,639,5.8,45,0,0,0.2036,0.796,0
C0004,25,2206967,34722,843844,12,593,9.8,143,4,0,0.1888,0.3824,0
C0005,35,571735,7229,294098,12,702,9.8,80,3,0,0.1517,0.5144,0
C0006,36,1399786,86939,199741,60,639,4.1,180,1,1,0.7453,0.1427,1
C0007,58,1201132,32021,117319,36,587,3.9,20,3,0,0.3199,0.0977,0
C0008,43,1171820,67435,879700,72,657,16.3,173,1,0,0.6906,0.7507,0
C0009,60,2076981,20131,1118554,48,658,10.2,62,0,0,0.1163,0.5385,1
C0010,50,546454,14504,674834,48,542,5.2,104,6,0,0.3185,1.2349,1
C0011,30,1399145,58985,381680,48,639,7.4,81,0,0,0.5059,0.2728,0
C0012,34,726319,21558,932554,72,649,4.8,166,2,0,0.3562,1.2839,1
C0013,56,282398,17222,240306,36,646,3.2,34,1,2,0.7318,0.8509,1
C0014,27,807477,45237,1046739,60,721,6.4,38,4,0,0.6723,1.2963,1
C0015,57,1123688,50944,968762,60,633,6.1,177,3,1,0.544,0.8621,1
C0016,60,1203658,11305,1534450,72,707,7.3,7,0,0,0.1127,1.2748,1
C0017,38,1448018,76847,1258403,48,653,5.6,39,1,0,0.6368,0.8691,1
C0018,50,1766031,55883,1029421,72,760,4.6,114,5,1,0.3797,0.5829,0
C0019,29,1322940,57296,434802,36,754,8.8,41,3,0,0.5197,0.3287,0
C0020,58,690658,37427,926638,12,809,5.0,18,6,0,0.6503,1.3417,1
C0021,53,1176521,51672,54520,48,606,12.7,48,2,0,0.527,0.0463,0
C0022,58,2321247,51780,672241,24,755,3.8,45,4,1,0.2677,0.2896,1
C0023,60,2279795,16910,1114993,12,678,0.5,46,6,0,0.089,0.4891,0
C0024,30,1312702,79924,133344,60,754,3.6,154,4,0,0.7306,0.1016,0
C0025,36,1597782,86607,679139,48,743,7.3,177,2,0,0.6505,0.4251,0
C0026,59,699351,37234,273508,60,675,6.8,24,0,0,0.6389,0.3911,1
C0027,33,2117879,130955,1742611,72,617,10.1,162,4,2,0.742,0.8228,0
C0028,31,1389250,16029,1606960,60,720,12.6,35,1,0,0.1385,1.1567,1
C0029,39,2399839,26195,1380190,48,689,0.5,19,6,0,0.131,0.5751,0
C0030,39,957723,38154,946924,60,710,7.2,119,5,0,0.4781,0.9887,0
C0031,46,901150,54174,133665,36,693,5.9,99,1,0,0.7214,0.1483,0
C0032,49,928243,12649,421305,48,773,3.8,66,2,0,0.1635,0.4539,0
C0033,38,1399064,7075,1037108,24,764,10.4,103,1,0,0.0607,0.7413,0
C0034,37,1215009,27313,885643,36,685,7.8,12,6,0,0.2698,0.7289,0
C0035,48,1668943,25405,1267584,36,680,8.8,72,0,1,0.1827,0.7595,0
C0036,55,765053,39787,249312,36,751,12.8,104,4,0,0.6241,0.3259,0
C0037,35,1807655,83678,708328,72,736,0.5,90,6,1,0.5555,0.3918,0
C0038,41,813883,29554,845125,72,687,6.7,55,4,0,0.4357,1.0384,0
C0039,23,1554543,81516,1423017,36,743,6.0,154,3,0,0.6292,0.9154,0
C0040,33,635658,35780,746101,72,665,2.7,78,6,0,0.6755,1.1737,1
C0041,35,898047,42060,202731,48,698,10.0,127,3,0,0.562,0.2257,0
C0042,48,1303344,2726,1624886,12,691,4.1,43,6,0,0.0251,1.2467,0
C0043,26,1325213,62901,1450011,60,676,8.8,40,4,0,0.5696,1.0942,1
C0044,55,2069880,60446,383778,72,724,4.4,146,6,0,0.3504,0.1854,0
C0045,56,2312547,76901,541768,36,654,4.8,25,2,0,0.399,0.2343,0
C0046,32,1177383,56377,904797,36,632,6.5,22,1,0,0.5746,0.7685,1
C0047,60,361922,17629,53091,36,620,11.2,103,2,0,0.5845,0.1467,1
C0048,57,1205006,30760,622386,48,626,0.5,130,5,0,0.3063,0.5165,1
C0049,33,2240376,9069,876320,60,625,16.8,142,4,0,0.0486,0.3911,0
C0050,34,490909,14422,393254,24,643,9.1,72,3,0,0.3525,0.8011,0
C0051,49,1338103,8826,783920,24,637,9.3,144,5,2,0.0792,0.5858,1
C0052,24,919137,10272,1043129,72,789,7.3,67,3,0,0.1341,1.1349,0
C0053,33,760385,9084,656794,12,656,7.4,85,2,0,0.1434,0.8638,0
C0054,35,598752,17915,156851,72,700,4.9,157,4,0,0.359,0.262,0
C0055,59,452256,4259,580538,72,733,4.6,100,2,1,0.113,1.2836,0
C0056,52,921691,13543,1144182,72,673,5.3,117,4,0,0.1763,1.2414,1
C0057,60,1405732,38559,995400,24,723,5.7,28,6,0,0.3292,0.7081,1
C0058,43,1042691,15901,794121,36,624,4.5,130,5,0,0.183,0.7616,1
C0059,56,1081348,33499,1498312,48,739,12.5,131,5,0,0.3717,1.3856,1
C0060,48,1300495,78225,823891,48,640,7.2,84,5,0,0.7218,0.6335,1
C0061,52,1416305,43359,300724,72,724,6.0,55,4,0,0.3674,0.2123,0
C0062,40,1466982,27443,671273,24,655,4.6,31,5,0,0.2245,0.4576,1
C0063,26,1505309,15446,75722,60,660,6.3,131,2,0,0.1231,0.0503,1
C0064,53,758516,28260,565633,12,615,7.9,22,1,2,0.4471,0.7457,0
C0065,28,1320988,80135,1708303,60,757,12.0,161,1,0,0.728,1.2932,0
C0066,60,2078642,76531,1352388,12,625,13.0,84,6,0,0.4418,0.6506,1
C0067,28,938745,2175,906723,48,758,7.3,46,5,0,0.0278,0.9659,0
C0068,52,578549,19337,705420,60,623,9.8,65,3,1,0.4011,1.2193,0
C0069,40,876582,40996,655260,48,705,9.2,84,0,0,0.5612,0.7475,1
C0070,57,2351127,23087,1304173,12,761,10.8,118,4,0,0.1178,0.5547,0
C0071,59,367012,20882,71092,24,695,13.0,74,3,0,0.6828,0.1937,0
C0072,50,2342447,125210,779727,48,648,8.1,29,6,1,0.6414,0.3329,1
C0073,41,1959618,13542,709590,36,626,9.0,122,2,1,0.0829,0.3621,1
C0074,57,2217669,16209,443389,60,621,1.4,111,5,0,0.0877,0.1999,1
C0075,40,829509,9957,110543,72,667,10.9,130,4,0,0.144,0.1333,1
C0076,49,670947,9435,533863,12,665,3.7,63,5,0,0.1687,0.7957,0
C0077,49,2303749,39917,854438,24,686,10.0,147,4,0,0.2079,0.3709,1
C0078,49,1705540,37018,1770816,12,672,1.5,135,4,0,0.2605,1.0383,0
C0079,32,2152955,100883,1004926,36,671,3.4,147,6,0,0.5623,0.4668,1
C0080,49,463070,26402,545951,72,728,2.1,87,5,0,0.6842,1.179,0
C0081,32,2357558,89030,260479,48,684,9.0,157,0,0,0.4532,0.1105,0
C0082,32,593852,19368,405007,60,662,8.7,126,6,0,0.3914,0.682,0
C0083,57,1873874,116344,1184592,12,672,12.4,130,4,2,0.745,0.6322,1
C0084,28,2100208,101663,1379065,72,726,4.0,31,5,0,0.5809,0.6566,1
C0085,43,515381,10001,606968,48,738,6.0,43,4,0,0.2329,1.1777,0
C0086,47,1290113,78435,350139,24,650,9.2,133,2,0,0.7296,0.2714,0
C0087,52,1486414,47293,1282227,36,658,6.0,119,5,0,0.3818,0.8626,1
C0088,47,2306721,64182,849778,60,654,2.9,33,5,0,0.3339,0.3684,0
C0089,48,1431254,81482,1612739,48,703,15.0,18,6,0,0.6832,1.1268,0
C0090,45,1198571,26920,1352103,36,658,14.0,168,5,0,0.2695,1.1281,1
C0091,29,445350,13955,187795,12,741,5.4,154,2,0,0.376,0.4217,0
C0092,46,2384679,45134,588905,48,735,8.4,75,6,0,0.2271,0.247,1
C0093,27,870377,49462,883432,60,649,7.1,179,2,1,0.6819,1.015,1
C0094,39,1878136,50689,277218,72,690,7.4,169,4,0,0.3239,0.1476,0
C0095,27,2227279,32585,343133,12,666,9.9,110,0,0,0.1756,0.1541,0
C0096,31,1910098,50629,1456111,72,665,7.1,122,4,0,0.3181,0.7623,1
C0097,49,695326,4144,773811,36,625,9.8,77,1,0,0.0715,1.1129,1
C0098,46,1784387,54184,628565,24,817,4.6,21,6,0,0.3644,0.3523,0
C0099,61,369579,20500,157586,12,707,10.4,38,6,0,0.6656,0.4264,0
C0100,44,898887,2185,631487,24,759,9.7,158,6,2,0.0292,0.7025,0
C0101,31,342328,12609,58273,24,758,2.6,156,2,2,0.442,0.1702,1
C0102,51,1798501,79812,278702,48,556,7.9,137,0,0,0.5325,0.155,0
C0103,56,1545129,64781,892252,48,717,0.5,21,5,2,0.5031,0.5775,1
C0104,61,902157,10270,626750,60,640,6.2,22,2,0,0.1366,0.6947,0
C0105,41,2183020,58367,951922,48,681,2.8,35,1,0,0.3208,0.4361,0
C0106,43,2069977,89177,584542,36,764,3.4,86,3,1,0.517,0.2824,1
C0107,29,1842994,75608,1227935,36,625,8.9,156,5,1,0.4923,0.6663,1
C0108,26,1486405,42953,787455,12,647,0.5,159,5,0,0.3468,0.5298,0
C0109,45,1821662,107804,949913,60,720,9.4,63,6,0,0.7101,0.5215,1
C0110,40,401438,10954,418416,36,728,3.2,52,1,0,0.3274,1.0423,0
C0111,48,571862,8013,606251,24,753,10.6,13,3,0,0.1681,1.0601,0
C0112,59,636335,12196,215056,60,713,10.2,19,3,0,0.23,0.338,0
C0113,51,2017212,47242,951594,12,778,6.0,35,2,0,0.281,0.4717,0
C0114,37,1937854,9180,66120,24,673,4.3,159,1,0,0.0568,0.0341,0
C0115,30,312421,14458,329226,72,684,2.8,39,1,0,0.5553,1.0538,1
C0116,25,2109637,62260,213289,36,617,0.7,10,5,0,0.3541,0.1011,0
C0117,48,367478,17076,486221,72,684,9.4,164,2,1,0.5576,1.3231,1
C0118,48,1581385,31041,748495,24,763,12.3,92,4,0,0.2355,0.4733,0
C0119,45,1752619,32968,265596,24,586,6.0,43,2,0,0.2257,0.1515,0
C0120,34,2352477,119677,1478440,60,582,2.9,124,2,0,0.6105,0.6285,0
C0121,32,2124498,106376,626032,60,717,10.9,83,0,0,0.6009,0.2947,1
C0122,46,1484088,86497,239365,60,645,9.0,25,4,0,0.6994,0.1613,0
C0123,25,2166319,86286,1318789,48,654,11.4,54,4,1,0.478,0.6088,0
C0124,28,2396231,47235,132086,24,646,9.2,171,4,0,0.2365,0.0551,0
C0125,46,1466541,80366,159818,72,743,1.8,179,5,0,0.6576,0.109,0
C0126,39,910711,7341,1272093,72,725,11.5,91,5,0,0.0967,1.3968,1
C0127,61,635337,10375,752667,72,736,5.6,90,6,0,0.196,1.1847,1
C0128,50,1797617,49526,697739,24,736,6.8,10,6,0,0.3306,0.3881,0
C0129,31,929887,35271,1181981,72,746,13.8,31,4,1,0.4552,1.2711,1
C0130,32,960514,56483,397160,72,631,3.1,52,5,0,0.7057,0.4135,0
C0131,62,1475074,71993,551572,36,592,7.1,65,6,0,0.5857,0.3739,0
C0132,59,2127999,102851,640918,48,629,5.5,124,1,0,0.58,0.3012,0
C0133,31,1328589,74684,265146,72,713,11.3,101,6,0,0.6746,0.1996,1
C0134,51,898025,8010,515647,48,784,8.2,117,3,2,0.107,0.5742,0
C0135,47,622278,23973,203143,24,696,6.3,31,0,0,0.4623,0.3265,1
C0136,53,2161570,3376,216148,12,678,1.6,163,4,0,0.0187,0.1,0
C0137,50,746351,5129,300021,48,649,7.5,37,5,0,0.0825,0.402,0
C0138,61,348934,18887,351490,24,680,7.5,167,0,0,0.6495,1.0073,1
C0139,49,1065651,6435,1153226,60,667,6.1,98,4,0,0.0725,1.0822,0
C0140,25,1902697,35246,1617236,12,675,7.0,101,1,0,0.2223,0.85,0
